ssp,year,aal_baseline_usd,aal_intervention_usd,aal_fatalities_baseline,benefits_usd_yr,benefits_direct_usd_yr,costs_usd_yr,cum_disc_benefits,cum_disc_costs,aal_ratio_baseline,aal_pct_gdp_baseline,lives_saved_yr,dalys_averted_yr,jobs_preserved_yr
SSP5,2035,1538005.099873,1430621.841105,2.053874,11157813.72394,107383.258769,5343599.019661,56153896.870236,35388944.749359,3e-05,9.9e-05,0.166275,6.644521,23.278188
SSP5,2040,1861079.449138,1695350.613114,2.478749,13318495.961205,165728.836024,4645315.831008,85277184.547575,45546763.597119,3e-05,9e-05,0.254083,10.15343,35.926149
SSP5,2045,2258371.132193,2025733.112262,3.016294,17007584.019404,232638.019931,5018671.707825,114416634.296348,54145358.898421,3e-05,7.8e-05,0.358368,14.320758,50.430501
SSP5,2050,2609984.088244,2318068.812124,3.492252,19482638.895432,291915.27612,4623337.803649,140570747.983432,60351874.513654,3.1e-05,6.6e-05,0.450266,17.993079,63.280428
SSP5,2055,2988489.245841,2630288.983981,3.983887,23554505.368886,358200.26186,5197531.318283,165346093.479159,65818796.111822,3e-05,5.6e-05,0.548498,21.918511,77.649468
SSP5,2060,3365923.508244,2941994.915342,4.475667,26940951.364804,423928.592902,5171078.885627,187549119.264583,70080471.814412,3e-05,4.7e-05,0.6461,25.81882,91.897839
SSP5,2065,3737054.883362,3250049.520273,4.962442,29808558.717043,487005.363088,4899920.588761,206797478.61134,73244510.477211,3e-05,4e-05,0.740994,29.610877,105.571412
SSP5,2070,4102135.072342,3554476.561881,5.44764,32605878.413343,547658.51046,4717908.758113,223294371.303981,75631528.962946,3e-05,3.4e-05,0.833384,33.302869,118.719601
SSP5,2075,4504613.741762,3888652.410513,5.975792,37048854.538185,615961.331249,5432830.283322,237981419.990967,77785232.333101,3e-05,2.9e-05,0.934834,37.356888,133.526061
SSP5,2080,4912734.377984,4227899.263567,6.510188,40674894.877707,684835.114416,5417300.174926,250615385.682818,79467891.495669,2.9e-05,2.5e-05,1.037307,41.451838,148.456292
SSP5,2085,5386939.303007,4623337.62325,7.119342,44998989.384567,763601.679757,5750386.778729,261566782.58197,80867362.212651,2.9e-05,2.2e-05,1.154428,46.132082,165.531047
SSP5,2090,5837662.388246,5000673.395228,7.706642,48250002.637086,836988.993018,5401828.081438,270767413.401273,81897418.652243,2.9e-05,2e-05,1.264755,50.540859,181.439706
SSP5,2095,6257173.555581,5348441.916189,8.244899,52605595.808801,908731.639393,5761753.093623,278627108.734517,82758270.491387,2.9e-05,1.7e-05,1.368773,54.697522,196.99184
SSP5,2100,6654299.182792,5678884.295013,8.761142,55714798.864413,975414.887779,5341436.988111,285149364.71455,83383566.1049,2.9e-05,1.5e-05,1.467199,58.630756,211.447214
